S	C	N	Msg Len		Rate	Nmsg	Mb/day
 	 	 	Max	Min
RW3	EHH	RE	2064	2064	100.0	    5	 35.7
RW3	EHZ	RE	2064	2064	100.0	    5	 35.7
RW4	EHH	RE	4064	4064	100.0	    3	 35.1
RW4	EHZ	RE	4064	4064	100.0	    3	 35.1
RW5	EHH	RE	2064	2064	100.0	    5	 35.7
RW5	EHZ	RE	2064	2064	100.0	    5	 35.7
RW6	EHH	RE	2064	2064	100.0	    5	 35.7
RW6	EHZ	RE	4064	4064	100.0	    2	 35.1
RW7	EHZ	RE	2064	2064	100.0	    5	 35.7
SBA	BHE	IU	2064	848	40.0	    4	 14.3
SBA	BHN	IU	2064	624	40.0	    4	 14.3
SBA	BHZ	IU	2064	384	40.0	    4	 14.3
SDMD	BHE	LD	1064	1064	50.0	    5	 18.4
SDMD	BHN	LD	1064	1064	50.0	    5	 18.4
SDMD	BHZ	LD	10Y	BLN	AT	512	512	20.0	    3	  7.9
SMY	BLZ	AT	512	512	20.0	    3	  7.9
SMY	SHZ	AT	1264	1264	20.0	    1	  3.6
SNCC	BHE	CI	1232	1232	20.0	    1	  7.3
SNCC	BHN	CI	1216	1168	20.0	    2	  7.6
SNCC	BHZ	CI	1408	1304	20.0	    2	  7.2
SNCC	BHZ	TS	2064	1344	20.0	    4	  7.1
SPU	HHE	UU	3632	3632	100.0	    2	 35.2
SPU	HHN	UU	3632	3632	100.0	    2	 35.2
SPU	HHZ	UU	3632	3632	100.0	    2	 35.2
SPU	SHZ	AK	264	264	100.0	   19	 22.8
SRU	HHE	UU	3632	3632	100.0	    2	 35.2
SRU	HHN	UU	3632	3632	100.0	    2	 35.2
SRU	HHZ	UU	3632	3632	100.0	    2	 35.2
STEW	EHZ	RE	2064	864	100.0	    5	 35.7
TATO	BHZ	IU	2064	896	20.0	    4	  7.1
TCU	HHE	UU	3632	3632	100.0	    2	 35.2
TCU	HHN	UU	3632	3632	100.0	    2	 35.2
TCU	HHZ	UU	3616	3600	100.0	    3	 35.3
TTA	SHZ	AT	1264	1264	20.0	    1	  3.6
TWB	EHZ	CO	264	264	100.0	   20	 22.8
UTMT	BHN	NM	2064	1072	20.0	    3	  7.1
VTV	BHE	TS	2064	1088	20.0	    3	  7.1
VTV	BHN	TS	2064	1200	20.0	    3	  7.1
VTV	BHZ	TS	2064	1280	20.0	    3	  7.1
WALA	BHZ	CN	1024	1024	40.0	    3	 14.7
WMOK	BHE	US	2064	1440	40.0	    7	 14.3
WUAZ	BHE	US	2064	1472	40.0	    5	 14.3
WVL	LHE	NE	2064	928	1.0	    3	  0.4
WVOR	BHN	US	2064	800	40.0	    6	 14.3
WVOR	BHZ	US	2064	992	40.0	    6	 14.3
WVT	BHN	US	2064	2016	20.0	    5	  7.1
YKW3	BHZ	CN	544	544	20.0	    4	  7.8
YMR	BHZ	WY	2064	2064	50.0	    5	 17.8
YMR	HHE	WY	3632	3632	100.0	    2	 35.2
YMR	HHN	WY	3632	3632	100.0	    2	 35.2
YMR	HHZ	WY	3632	3632	100.0	    2	 35.2
